Địa chỉ,Phường/Xã/Thị trấn,Quận/Huyện,Diện tích (m²),Mức giá (tỷ),Giá tiền (triệu/m²),Mặt tiền(m),Đường vào(m),Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,49,9.8,200,,,,,4,,,Đã có sổ đỏ,
"Đường Giải Phóng, Phường Phương Liệt, Thanh Xuân, Hà Nội",Phường Phương Liệt,Thanh Xuân,75,25,333.33,8,,,,8,8,8,Đã có sổ đỏ,
"Phố Xốm, Phường Phú Lương, Hà Đông, Hà Nội",Phường Phú Lương,Hà Đông,68,4.8,70.59,,,,,5,,,Chưa sổ,Đầy đủ
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,Bắc Từ Liêm,55,10.4,189.09,,,,,3,,,Đã có sổ đỏ,
"Ngõ 255, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Phường Dịch Vọng,Cầu Giấy,37,7.85,212.16,3.5,4,Tây - Nam,Tây - Nam,4,4,3,Đã có sổ đỏ,Cơ bản
"Đường Trần Hữu Tước, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,46,13.5,293.48,48,,,,8,5,6,Đã có sổ đỏ,
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",Phường Phú La,Hà Đông,40,7.6,190,3.9,3,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Cầu Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,Bắc Từ Liêm,78,18.9,242.31,6.5,20,,,4,,,Đã có sổ đỏ,
"Ngõ 31, Đường Yên Bệ, Xã Kim Chung, Hoài Đức, Hà Nội",Xã Kim Chung,Hoài Đức,30,3.95,131.67,3.5,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"34 ngách 9 ngõ 389, Đường Xuân Khanh, Phường Quang Trung, Sơn Tây, Hà Nội",Phường Quang Trung,Sơn Tây,12,,,,,,,,,,Đã có sổ đỏ,
"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,90,40.5,450,4,20,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Ngõ 31, Đường Yên Bệ, Xã Kim Chung, Hoài Đức, Hà Nội",Xã Kim Chung,Hoài Đức,30,3.95,131.67,3.5,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"34 ngách 9 ngõ 389, Đường Xuân Khanh, Phường Quang Trung, Sơn Tây, Hà Nội",Phường Quang Trung,Sơn Tây,12,,,,,,,,,,Đã có sổ đỏ,
"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",Phường Ô Chợ Dừa,Đống Đa,90,40.5,450,4,20,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,32,4.95,154.69,,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ.
"Đường Cầu Bươu, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,40,7.5,187.5,,,,,5,4,5,Đã có sổ đỏ,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,26,9.6,369.23,,5,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,25,5.35,214,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",Phường Thanh Nhàn,Hai Bà Trưng,70,16,228.57,,,,,7,6,6,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,30,4.5,150,,3,,,5,4,4,Đã có sổ đỏ,
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,36,7,194.44,6,,,,5,3,4,Đã có sổ đỏ,Cơ bản.
"Phố Trung Hòa, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,47,7.5,159.57,,5,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Đường Cầu Bươu, Phường Kiến Hưng, Hà Đông, Hà Nội",Phường Kiến Hưng,Hà Đông,42,7.5,178.57,5,7,,,5,4,4,Đã có sổ đỏ,Nội thất nét căng.
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,53,9.3,175.47,5.2,2.2,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Vũ Xuân Thiều, Phường Sài Đồng, Long Biên, Hà Nội",Phường Sài Đồng,Long Biên,50,7,140,5,3.5,Nam,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,25,4.55,182,,2,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Bùi Huy Bích, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",Phường Thịnh Liệt,Hoàng Mai,60,14.7,245,,,,,5,5,,Đã có sổ đỏ,Cơ bản.
"Phố Phú Lương, Phường Phú Lương, Hà Đông, Hà Nội",Phường Phú Lương,Hà Đông,35,4.15,118.57,4.15,,,,5,4,4,Đã có sổ đỏ,Cơ bản
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,32,5.55,173.44,4,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,81,15.5,191.36,6,,,,3,4,2,Đã có sổ đỏ,Cơ bản
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,32,5.55,173.44,4,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,81,15.5,191.36,6,,,,3,4,2,Đã có sổ đỏ,Cơ bản
"Đường 131, Xã Quang Tiến, Sóc Sơn, Hà Nội",Xã Quang Tiến,Sóc Sơn,84,2.6,,,,,,,,,Đã có sổ đỏ,
"Phố Nhân Hòa, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",Xã Tả Thanh Oai,Thanh Trì,36,3.88,107.78,,,,,,,,Chưa sổ,
"Đường Nguyễn Xiển, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",Phường Thanh Xuân Nam,Thanh Xuân,83,16.2,195.18,5.2,10,,,4,4,4,Đã có sổ đỏ,
"Đường Phú Viên, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,44,7.9,179.54,,,,,4,4,3,Đã có sổ đỏ,Cơ bản.
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,48,7.5,156.25,6.7,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",Phường Bưởi,Tây Hồ,34,8,235.29,3.5,3,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,50,15,300,,,,,7,3,4,Đã có sổ đỏ,"Đầy đủ Điều hòa âm trần, thang máy nhập khẩu, nội thất như 3D."
"Đường Phạm Ngọc Thạch, Phường Kim Liên, Đống Đa, Hà Nội",Phường Kim Liên,Đống Đa,48,8.94,186.25,,,,,6,5,5,Đã có sổ đỏ,Đầy đủ
"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,39,9,230.77,3.4,,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Phố Gia Quất, Phường Thượng Thanh, Long Biên, Hà Nội",Phường Thượng Thanh,Long Biên,40,5.85,146.25,,,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường An Thắng, Phường Biên Giang, Hà Đông, Hà Nội",Phường Biên Giang,Hà Đông,30,3.3,110,3.9,2.5,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường 32, Xã Kim Chung, Hoài Đức, Hà Nội",Xã Kim Chung,Hoài Đức,80,,,5.5,13,Tây - Nam,Tây - Bắc,,,,Chưa sổ,
"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,31,4.95,159.68,,,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Nghĩa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",Phường Yên Nghĩa,Hà Đông,42,5,119.05,3.5,,Đông - Nam,Đông - Nam,3,3,2,Đã có sổ đỏ,Đầy đủ
"Ngõ Chùa Liên Phái, Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",Phường Bạch Mai,Hai Bà Trưng,45,7.5,166.67,4,,,,5,4,4,Đã có sổ đỏ,Đầy đủ
"Phố Khâm Thiên, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,30,6.5,216.67,3.2,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Xã Đàn, Phường Kim Liên, Đống Đa, Hà Nội",Phường Kim Liên,Đống Đa,60,9.2,153.33,6,30,,,4,4,4,Đã có sổ đỏ,Cơ bản
"Đường Trịnh Văn Bô, Phường Xuân Phương, Nam Từ Liêm, Hà Nội",Phường Xuân Phương,Nam Từ Liêm,69,6.9,100,,5,,,4,4,,Đã có sổ đỏ,Đầy đủ
"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,42,12,285.71,,,,,7,,,Đã có sổ đỏ,Mới đẹp
"Phố Thái Hà, Phường Quang Trung, Đống Đa, Hà Nội",Phường Quang Trung,Đống Đa,36,14.4,400,3.5,5,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,43,9.35,214.45,,,,,5,4,,Đã có sổ đỏ,Đầy đủ
"Đường Phú Lãm, Phường Phú Lãm, Hà Đông, Hà Nội",Phường Phú Lãm,Hà Đông,51,10,196.08,4,,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Ngõ 165, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,40,13.5,337.5,,,,,5,,,Chưa sổ,
"Đường Thịnh Quang, Phường Thịnh Quang, Đống Đa, Hà Nội",Phường Thịnh Quang,Đống Đa,47,7.9,168.08,3.5,,,,4,5,,Đã có sổ đỏ,Đầy đủ
"Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,33,4.85,146.97,,,,,5,3,,Chưa sổ,Đầy đủ
"Ngõ Trại Cá, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",Phường Trương Định,Hai Bà Trưng,39,5.25,132.24,4,2,Bắc,Bắc,3,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",Phường Mỹ Đình 1,Nam Từ Liêm,57,5.2,91.23,4,,,,5,4,4,Đã có sổ đỏ,Đầy đủ.
"Phường Thanh Xuân Bắc, Thanh Xuân, Hà Nội",Phường Thanh Xuân Bắc,Thanh Xuân,48,75,1,,50,,,4,4,2,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,38,8.3,218.42,,,,,6,3,4,Đã có sổ đỏ,"Đầy đủ trang bị full nội thất nhập khẩu,"
"Đường Nguyễn An Ninh, Phường Tương Mai, Hoàng Mai, Hà Nội",Phường Tương Mai,Hoàng Mai,45,7.9,175.56,3.2,2,,,5,3,3,Đã có sổ đỏ,Đầy đủ.
"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,61,20.8,340.98,,,,,5,5,5,Đã có sổ đỏ,Cơ bản
"Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Phường Mễ Trì,Nam Từ Liêm,50,10.2,204,,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,35,4.35,124.29,3.8,,,,4,3,3,Chưa sổ,
"Đường Trung Yên, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,60,19.9,331.67,,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,61,20.8,340.98,,,,,5,5,5,Đã có sổ đỏ,Cơ bản
"Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Phường Mễ Trì,Nam Từ Liêm,50,10.2,204,,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,35,4.35,124.29,3.8,,,,4,3,3,Chưa sổ,
"Đường Trung Yên, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,60,19.9,331.67,,,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung, Phường Phú La, Hà Đông, Hà Nội",Phường Phú La,Hà Đông,76,8.8,115.79,,,,,3,4,,Đã có sổ đỏ,
"Đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,12,19.5,162.5,,,,,7,3,,Đã có sổ đỏ,Đầy đủ
"Đường Mạc Thái Tổ, Phường Trung Hòa, Cầu Giấy, Hà Nội",Phường Trung Hòa,Cầu Giấy,64,29.2,456.25,,,,,6,5,6,Đã có sổ đỏ,Cơ bản
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,10,27,270,,,,,9,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,51,8.9,174.51,,,,,5,5,4,Đã có sổ đỏ,Cơ bản.
"Ngõ 178, Đường Nguyễn Lương Bằng, Phường Quang Trung, Đống Đa, Hà Nội",Phường Quang Trung,Đống Đa,45,7.8,173.33,4,3,Tây - Bắc,Tây - Bắc,4,4,4,Đã có sổ đỏ,Đầy đủ
"Xã Cổ Loa, Đông Anh, Hà Nội",Xã Cổ Loa,Đông Anh,37,,,16,,,,3,,,Đã có sổ đỏ,
"Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,60,14,233.33,,,Đông - Nam,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Phan Kế Bính, Phường Cống Vị, Ba Đình, Hà Nội",Phường Cống Vị,Ba Đình,45,7,155.56,3.5,3,,,5,6,5,Đã có sổ đỏ,Đầy đủ
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,42,5.5,130.95,,,,,4,4,3,Đã có sổ đỏ,
"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội",Phường Nhật Tân,Tây Hồ,75,6.98,93.07,4,,,,,,,Đã có sổ đỏ,
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",Phường Bồ Đề,Long Biên,60,14.5,241.67,,,,,4,4,3,Đã có sổ đỏ,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",Phường Khương Trung,Thanh Xuân,40,6,150,3.8,3,,,3,3,3,Đã có sổ đỏ,Cao cấp
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",Phường Nghĩa Đô,Cầu Giấy,60,13.9,231.67,10,6,,,5,5,5,Đã có sổ đỏ,Đầy đủ
"Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",Phường Đội Cấn,Ba Đình,55,9,163.64,4.5,3,,,5,4,5,Đã có sổ đỏ,Cơ bản
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,57,7.9,138.6,4,4,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,57,7.9,138.6,4,4,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội",Phường Nam Đồng,Đống Đa,45,7.55,167.78,,,,,4,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Quang Trung, Phường Phúc La, Hà Đông, Hà Nội",Phường Phúc La,Hà Đông,75,8.79,117.2,4.5,3.5,,,4,3,3,Đã có sổ đỏ,Cơ bản
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Phường Hoàng Văn Thụ,Hoàng Mai,36,7,194.44,,,,,5,3,4,Đã có sổ đỏ,
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,65,14.8,227.69,,,,,8,1,,Đã có sổ đỏ,Đầy đủ
"Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,52,6.4,123.08,5,3.5,,,3,3,2,Đã có sổ đỏ,Đầy đủ.
"Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,48,5.8,120.83,6.5,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ Nội thất đầy đủ.
"Đường Hàm Nghi, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 2,Nam Từ Liêm,52,9.6,184.62,5.5,3,,,5,7,8,Đã có sổ đỏ,Cơ bản
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,40,13.8,345,,,,,5,6,4,Đã có sổ đỏ,Đầy đủ
"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",Phường Cầu Diễn,Nam Từ Liêm,62,10.5,169.36,,45,,,4,4,3,Đã có sổ đỏ,Đầy đủ
"Đường Tây Thăng Long, Xã Đan Phượng, Đan Phượng, Hà Nội",Xã Đan Phượng,Đan Phượng,81,9.5,117.28,6,12,,,,,,Đã có sổ đỏ,
"Đường Đội Cấn, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Phường Vĩnh Phúc,Ba Đình,35,7.5,214.29,,,,,6,,,Đã có sổ đỏ,
"Phố Bạch Mai, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",Phường Cầu Dền,Hai Bà Trưng,25,4.55,182,,,,,5,4,3,Đã có sổ đỏ,
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",Phường Hàng Bột,Đống Đa,18,3.25,180.56,3.2,,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Dương Văn Bé, Phường Minh Khai, Hai Bà Trưng, Hà Nội",Phường Minh Khai,Hai Bà Trưng,43,8.2,190.7,,,,,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",Phường Định Công,Hoàng Mai,13,22.5,163.04,8,35,,,8,3,3,Đã có sổ đỏ,Đầy đủ
"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Phường Láng Hạ,Đống Đa,48,9.8,204.17,,3,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",Phường Thụy Khuê,Tây Hồ,37,7.35,198.65,3.8,25,,,5,3,4,Đã có sổ đỏ,Cơ bản
"Đường Đại Cồ Việt, Phường Bách Khoa, Hai Bà Trưng, Hà Nội",Phường Bách Khoa,Hai Bà Trưng,35,5,142.86,4,3,,,5,3,4,Đã có sổ đỏ,Đầy đủ
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,35,5.4,154.29,3.5,4,,,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",Phường La Khê,Hà Đông,35,5.4,154.29,3.5,4,,,5,6,4,Đã có sổ đỏ,Cơ bản
"Đường Đội Cấn, Phường Vĩnh Phúc, Ba Đình, Hà Nội",Phường Vĩnh Phúc,Ba Đình,32,7.5,234.38,,,,,6,3,5,Chưa sổ,
"Đường Tân Khai, Phường Tân Mai, Hoàng Mai, Hà Nội",Phường Tân Mai,Hoàng Mai,30,6.5,216.67,,,,,4,,,Chưa sổ,
"Đường Cửu Việt, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Thị trấn Trâu Quỳ,Gia Lâm,60,6,100,,,Đông - Bắc,,3,8,8,Đã có sổ đỏ,Đầy đủ
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",Phường Láng Thượng,Đống Đa,13,26,192.59,,,,,8,2,2,Đã có sổ đỏ,Đầy đủ
"Bồ Đề, Long Biên, Hà Nội",Bồ Đề,Long Biên,60,11.5,191.67,,,Tây - Nam,,6,4,4,Đã có sổ đỏ,Đầy đủ
"Đường Mai Động, Phường Mai Động, Hoàng Mai, Hà Nội",Phường Mai Động,Hoàng Mai,36,7.8,216.67,6.3,4,,,4,4,4,Đã có sổ đỏ,Đầy đủ.
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",Phường Mai Dịch,Cầu Giấy,11,27.5,250,6,,,,8,3,3,Đã có sổ đỏ,
"Phố Chính Kinh, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,Thanh Xuân,55,10,181.82,5,,,,6,9,,Đã có sổ đỏ,Mới đẹp
"Đường Đào Tấn, Phường Ngọc Khánh, Ba Đình, Hà Nội",Phường Ngọc Khánh,Ba Đình,75,9,120,4,,,,4,4,5,Đã có sổ đỏ,Đầy đủ
"Ngõ 84, Đường Đại Tự, Xã Kim Chung, Hoài Đức, Hà Nội",Xã Kim Chung,Hoài Đức,33,4.75,141.37,3.3,4,Tây - Nam,Tây - Nam,4,5,5,Đã có sổ đỏ,Không nội thất
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Phường Ngọc Thụy,Long Biên,66,15.2,230.3,4.6,6,,,6,4,5,Đã có sổ đỏ,Đầy đủ.
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",Phường Trung Liệt,Đống Đa,51,30,588.24,,,,,4,,,Đã có sổ đỏ,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",Phường Xuân Đỉnh,Bắc Từ Liêm,70,13.5,192.86,5,6,,,4,3,3,Đã có sổ đỏ,Đầy đủ
"Xã Ngọc Hồi, Thanh Trì, Hà Nội",Xã Ngọc Hồi,Thanh Trì,45,10,222.22,4.3,,Đông - Nam,Đông - Nam,4,,,Đã có sổ đỏ,Đầy đủ
"Phố Khương Hạ, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,33,6.75,204.54,,,,,5,,,Đã có sổ đỏ,
"Xã Vân Côn, Hoài Đức, Hà Nội",Xã Vân Côn,Hoài Đức,40,3.1,77.5,,2,,,4,,,Đã có sổ đỏ,Đầy đủ
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",Phường Gia Thụy,Long Biên,72,16.4,227.78,5,5,,,7,4,4,Đã có sổ đỏ,Đầy đủ.
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,50,6.5,130,6.8,6,,,3,3,3,Đã có sổ đỏ,Đầy đủ.
"Đường Tây Sơn, Phường Ngã Tư Sở, Đống Đa, Hà Nội",Phường Ngã Tư Sở,Đống Đa,56,7.2,128.57,,,,,4,4,,Chưa sổ,Nội thất Đầy đủ.
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",Phường Gia Thụy,Long Biên,72,16.4,227.78,5,5,,,7,4,4,Đã có sổ đỏ,Đầy đủ.
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,50,6.5,130,6.8,6,,,3,3,3,Đã có sổ đỏ,Đầy đủ.
"Đường Tây Sơn, Phường Ngã Tư Sở, Đống Đa, Hà Nội",Phường Ngã Tư Sở,Đống Đa,56,7.2,128.57,,,,,4,4,,Chưa sổ,Nội thất Đầy đủ.
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",Phường Hạ Đình,Thanh Xuân,95,42.2,444.21,5,,,,9,8,8,Đã có sổ đỏ,
"Đường Ngô Gia Tự, Phường Đức Giang, Long Biên, Hà Nội",Phường Đức Giang,Long Biên,58,8.2,141.38,4.7,,,,2,,,Đã có sổ đỏ,
"Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội",Phường Long Biên,Long Biên,58,14.6,251.72,4,5,,,7,4,4,Đã có sổ đỏ,
"Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",Phường Khương Đình,Thanh Xuân,44,7.65,173.86,4,,,,4,4,,Đã có sổ đỏ,
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",Xã Thanh Liệt,Thanh Trì,30,6.5,216.67,,,,,4,,,Chưa sổ,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,38,7.9,207.9,3.4,4,,,5,5,3,Đã có sổ đỏ,Cơ bản
"Đường Bờ Sông Sét, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",Phường Thịnh Liệt,Hoàng Mai,34,7,205.88,4,25,Tây,Tây,,,,Đã có sổ đỏ,Đầy đủ
"Số 72, Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội",Phường Quan Hoa,Cầu Giấy,50,13.8,276,6.3,3,Đông - Nam,Đông - Nam,5,4,5,Đã có sổ đỏ,Đầy đủ
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",Phường Nhân Chính,Thanh Xuân,38,7.9,207.9,,,,,5,5,,Đã có sổ đỏ,
"Phố Gia Quất, Phường Thượng Thanh, Long Biên, Hà Nội",Phường Thượng Thanh,Long Biên,39,5.9,151.28,,,,,4,4,3,Chưa sổ,
"Đường 21, Xã Bình Yên, Thạch Thất, Hà Nội",Xã Bình Yên,Thạch Thất,75,1.4,18.64,16,,Tây,Nam,,,,Đã có sổ đỏ,Cơ bản
